Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.3528		2.0784		0.0000		0.1558		0.00050000
2		1.8680		1.8692		0.0000		0.1997		0.00049775
1		2.3168		2.0744		0.0000		0.1223		0.00050000
2		1.8160		1.7741		0.0000		0.1996		0.00049850
3		1.5957		1.6179		0.0000		0.2494		0.00049700
4		1.4554		1.5162		0.0000		0.2504		0.00049550
5		1.3565		1.5018		0.0000		0.2489		0.00049400
6		1.2877		1.2952		0.0000		0.2962		0.00049249
7		1.2241		1.3120		0.0000		0.2925		0.00049099
8		1.1637		1.3185		0.0000		0.2781		0.00048949
9		1.1158		1.1920		0.0000		0.3056		0.00048798
10		1.0722		1.1870		0.0000		0.3162		0.00048648
11		1.0267		1.1151		0.0000		0.3191		0.00048497
12		1.0057		1.1489		0.0000		0.3224		0.00048347
13		0.9686		1.1420		0.0000		0.3183		0.00048196
14		0.9414		1.0319		0.0000		0.3381		0.00048046
15		0.9201		1.0272		0.0000		0.3388		0.00047895
16		0.8743		0.9912		0.0000		0.3551		0.00047744
17		0.8562		1.1410		0.0000		0.3383		0.00047593
18		0.8498		0.9950		0.0000		0.3599		0.00047443
19		0.8161		1.0586		0.0000		0.3439		0.00047292
20		0.8154		1.1846		0.0000		0.3053		0.00047141
21		0.8057		0.9677		0.0000		0.3625		0.00046990
22		0.7446		0.9761		0.0000		0.3540		0.00046839
23		0.7538		0.9030		0.0000		0.3710		0.00046688
24		0.7242		0.9706		0.0000		0.3923		0.00046536
25		0.7208		1.0035		0.0000		0.3608		0.00046385
26		0.6950		1.0619		0.0000		0.3510		0.00046234
27		0.7047		0.8793		0.0000		0.3865		0.00046083
28		0.6758		1.0221		0.0000		0.3419		0.00045931
29		0.6912		0.9630		0.0000		0.3964		0.00045780
30		0.6490		0.9892		0.0000		0.3799		0.00045628
31		0.6621		0.8744		0.0000		0.4071		0.00045477
32		0.6505		0.8801		0.0000		0.3860		0.00045325
33		0.6602		0.8518		0.0000		0.3916		0.00045173
34		0.5948		0.8220		0.0000		0.4119		0.00045022
35		0.6183		0.9273		0.0000		0.3649		0.00044870
36		0.6190		1.1539		0.0000		0.3458		0.00044718
37		0.6218		0.8343		0.0000		0.4078		0.00044566
38		0.6061		1.0082		0.0000		0.3451		0.00044414
39		0.6150		1.0400		0.0000		0.3857		0.00044262
40		0.5917		0.8437		0.0000		0.4093		0.00044110
41		0.5720		0.8569		0.0000		0.4097		0.00043958
42		0.5514		0.7934		0.0000		0.4312		0.00043806
