Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.7456		1.3168		0.0000		0.3674		0.00050000
2		0.9048		0.8667		0.0000		0.4242		0.00049700
3		0.7384		1.1533		0.0000		0.3935		0.00049400
4		0.6699		0.8200		0.0000		0.4260		0.00049099
5		0.6106		0.7729		0.0000		0.4645		0.00048798
6		0.5577		0.6992		0.0000		0.4720		0.00048497
7		0.5073		0.7843		0.0000		0.4427		0.00048196
8		0.6206		0.7510		0.0000		0.4502		0.00047895
9		0.4796		0.7604		0.0000		0.4299		0.00047593
10		0.5296		0.7385		0.0000		0.4459		0.00047292
11		0.4348		0.7010		0.0000		0.4831		0.00046990
12		0.4453		0.6944		0.0000		0.4565		0.00046688
13		0.4521		1.0003		0.0000		0.3667		0.00046385
14		0.4836		0.6695		0.0000		0.4563		0.00046083
15		0.4778		0.7376		0.0000		0.4351		0.00045780
16		0.4598		0.8144		0.0000		0.4337		0.00045477
17		0.4604		0.6465		0.0000		0.4647		0.00045173
18		0.4335		0.6437		0.0000		0.4674		0.00044870
19		0.3764		1.0958		0.0000		0.4108		0.00044566
20		0.4545		0.6792		0.0000		0.4962		0.00044262
21		0.4890		0.6108		0.0000		0.4981		0.00043958
22		0.3874		0.6483		0.0000		0.4792		0.00043653
23		0.3561		0.6318		0.0000		0.5013		0.00043349
24		0.3564		0.6614		0.0000		0.4819		0.00043044
25		0.5355		0.7794		0.0000		0.4596		0.00042739
26		0.3891		0.8433		0.0000		0.4707		0.00042433
27		0.3501		0.7463		0.0000		0.4897		0.00042128
28		0.3968		0.7102		0.0000		0.4718		0.00041822
29		0.3626		0.6484		0.0000		0.4582		0.00041516
30		0.4212		0.7362		0.0000		0.4391		0.00041209
31		0.3910		0.7723		0.0000		0.4432		0.00040903
32		0.4180		0.6474		0.0000		0.4651		0.00040596
33		0.3581		0.7375		0.0000		0.4716		0.00040289
34		0.3492		0.6106		0.0000		0.5087		0.00039981
35		0.3569		0.6461		0.0000		0.5052		0.00039673
36		0.3804		0.6375		0.0000		0.5020		0.00039366
37		0.3839		0.6166		0.0000		0.5037		0.00039057
38		0.3193		0.6512		0.0000		0.4993		0.00038749
39		0.3104		0.6758		0.0000		0.5186		0.00038440
40		0.3153		0.6653		0.0000		0.5147		0.00038131
41		0.3541		0.6983		0.0000		0.4881		0.00037822
42		0.4505		0.7749		0.0000		0.4106		0.00037512
43		0.3432		0.6328		0.0000		0.4754		0.00037202
44		0.2983		0.6220		0.0000		0.5271		0.00036892
45		0.2880		0.6837		0.0000		0.5400		0.00036582
46		0.2882		0.6492		0.0000		0.5435		0.00036271
47		0.3186		0.6756		0.0000		0.5173		0.00035960
48		0.3242		0.6453		0.0000		0.5211		0.00035649
49		0.2827		0.7264		0.0000		0.5035		0.00035337
50		0.3204		1.0247		0.0000		0.4134		0.00035025
51		0.4526		0.6275		0.0000		0.4903		0.00034713
52		0.3054		0.6360		0.0000		0.5158		0.00034400
53		0.2869		0.8237		0.0000		0.4569		0.00034087
54		0.2912		0.6787		0.0000		0.5066		0.00033774
55		0.2787		1.2238		0.0000		0.4381		0.00033460
56		0.3596		0.5936		0.0000		0.5267		0.00033147
57		0.2745		0.6024		0.0000		0.5257		0.00032832
58		0.2743		0.7443		0.0000		0.5222		0.00032518
59		0.3318		0.6735		0.0000		0.5066		0.00032203
60		0.2701		0.6505		0.0000		0.5225		0.00031888
61		0.2840		0.8939		0.0000		0.4622		0.00031572
62		0.2852		0.7214		0.0000		0.5227		0.00031256
63		0.3291		0.6581		0.0000		0.4962		0.00030940
64		0.2770		0.8068		0.0000		0.5045		0.00030624
65		0.2750		0.8179		0.0000		0.4916		0.00030307
66		0.2998		0.6389		0.0000		0.5209		0.00029989
67		0.2563		0.6906		0.0000		0.5487		0.00029671
68		0.2726		0.6344		0.0000		0.5194		0.00029353
69		0.2772		0.6089		0.0000		0.5328		0.00029035
70		0.2562		0.5851		0.0000		0.5288		0.00028716
71		0.2545		0.6692		0.0000		0.5371		0.00028397
72		0.2577		0.7285		0.0000		0.5209		0.00028077
73		0.3121		0.9606		0.0000		0.4579		0.00027757
74		0.3009		0.6347		0.0000		0.5205		0.00027437
75		0.2438		0.6637		0.0000		0.5437		0.00027116
76		0.2396		0.6751		0.0000		0.5382		0.00026794
77		0.2431		0.6201		0.0000		0.5567		0.00026473
78		0.2900		0.6206		0.0000		0.5249		0.00026150
79		0.2492		0.6283		0.0000		0.5461		0.00025828
80		0.2493		0.6163		0.0000		0.5414		0.00025505
81		0.2378		0.6380		0.0000		0.5565		0.00025181
82		0.2374		0.5992		0.0000		0.5608		0.00024857
83		0.2334		0.6592		0.0000		0.5540		0.00024533
84		0.3588		0.6920		0.0000		0.4753		0.00024208
85		0.3102		0.5831		0.0000		0.5266		0.00023882
86		0.3092		0.7315		0.0000		0.5244		0.00023556
87		0.2510		0.6832		0.0000		0.5460		0.00023230
88		0.2276		0.6341		0.0000		0.5574		0.00022903
89		0.2213		0.6373		0.0000		0.5558		0.00022576
90		0.2185		0.6484		0.0000		0.5534		0.00022248
91		0.2185		0.6512		0.0000		0.5665		0.00021919
92		0.2241		0.6693		0.0000		0.5523		0.00021590
93		0.2362		0.6501		0.0000		0.5425		0.00021260
94		0.2222		0.7404		0.0000		0.5491		0.00020930
95		0.2188		0.6830		0.0000		0.5774		0.00020600
96		0.2426		0.7334		0.0000		0.4958		0.00020268
97		0.2560		0.6667		0.0000		0.5608		0.00019936
98		0.2177		0.7083		0.0000		0.5507		0.00019604
99		0.2098		0.6629		0.0000		0.5688		0.00019270
100		0.2059		0.6475		0.0000		0.5629		0.00018937
101		0.2539		0.6223		0.0000		0.5178		0.00018602
102		0.2388		0.6643		0.0000		0.5506		0.00018267
103		0.2076		0.6459		0.0000		0.5656		0.00017931
104		0.2039		0.6914		0.0000		0.5670		0.00017594
105		0.2122		0.6868		0.0000		0.5603		0.00017257
106		0.1996		0.7210		0.0000		0.5767		0.00016919
107		0.2326		0.5968		0.0000		0.5647		0.00016580
108		0.2056		0.6241		0.0000		0.5531		0.00016241
109		0.1979		0.6408		0.0000		0.5776		0.00015901
110		0.1974		0.6305		0.0000		0.5861		0.00015559
111		0.2044		0.6103		0.0000		0.5804		0.00015217
112		0.2001		0.6090		0.0000		0.5730		0.00014875
113		0.2242		0.5936		0.0000		0.5614		0.00014531
114		0.2143		0.6155		0.0000		0.5588		0.00014186
115		0.1980		0.6449		0.0000		0.5807		0.00013841
116		0.1891		0.6393		0.0000		0.5792		0.00013494
117		0.1891		0.7264		0.0000		0.5822		0.00013147
118		0.1870		0.6763		0.0000		0.5938		0.00012798
119		0.1899		0.6532		0.0000		0.5940		0.00012449
120		0.1903		0.6598		0.0000		0.5710		0.00012098
121		0.1831		0.6819		0.0000		0.5876		0.00011746
122		0.1858		0.6510		0.0000		0.5795		0.00011393
123		0.1816		0.6959		0.0000		0.5830		0.00011039
124		0.1806		0.6688		0.0000		0.5906		0.00010684
125		0.1813		0.6679		0.0000		0.5795		0.00010327
126		0.1794		0.7115		0.0000		0.5887		0.00009969
127		0.1785		0.7142		0.0000		0.5858		0.00009609
128		0.1750		0.7108		0.0000		0.5936		0.00009248
129		0.1740		0.7317		0.0000		0.5979		0.00008885
130		0.1758		0.7367		0.0000		0.5880		0.00008521
131		0.1748		0.7011		0.0000		0.5886		0.00008155
132		0.1840		0.6995		0.0000		0.5921		0.00007787
133		0.1698		0.7077		0.0000		0.5929		0.00007417
134		0.1678		0.7270		0.0000		0.5961		0.00007045
135		0.1661		0.7073		0.0000		0.5881		0.00006671
136		0.1643		0.7470		0.0000		0.5928		0.00006295
137		0.1649		0.7183		0.0000		0.5878		0.00005916
138		0.1643		0.7482		0.0000		0.5944		0.00005534
139		0.1644		0.7468		0.0000		0.5966		0.00005149
140		0.1629		0.7433		0.0000		0.5930		0.00004761
141		0.1624		0.7294		0.0000		0.5897		0.00004370
142		0.1618		0.7834		0.0000		0.5983		0.00003975
143		0.1581		0.7478		0.0000		0.5943		0.00003575
144		0.1575		0.7521		0.0000		0.5986		0.00003170
145		0.1583		0.7350		0.0000		0.5995		0.00002759
146		0.1558		0.7674		0.0000		0.5997		0.00002342
147		0.1548		0.7600		0.0000		0.5966		0.00001916
148		0.1541		0.7561		0.0000		0.6000		0.00001479
149		0.1544		0.7443		0.0000		0.5979		0.00001027
150		0.1522		0.7544		0.0000		0.6008		0.00000550
