Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1652		1.9638		0.0000		0.1849		0.00050000
2		1.6669		1.9112		0.0000		0.2054		0.00049700
3		1.4451		1.4967		0.0000		0.2662		0.00049400
4		1.3041		1.3653		0.0000		0.2732		0.00049099
5		1.2107		1.1840		0.0000		0.3134		0.00048798
6		1.1328		1.1246		0.0000		0.3181		0.00048497
7		1.0862		1.1509		0.0000		0.3016		0.00048196
8		1.0485		1.1183		0.0000		0.3260		0.00047895
9		0.9775		1.1066		0.0000		0.3327		0.00047593
10		0.9379		1.0780		0.0000		0.3170		0.00047292
11		0.9112		1.0320		0.0000		0.3245		0.00046990
12		0.8753		0.9769		0.0000		0.3692		0.00046688
13		0.8373		1.1906		0.0000		0.3268		0.00046385
14		0.8328		0.9127		0.0000		0.3709		0.00046083
15		0.7761		0.9476		0.0000		0.3630		0.00045780
16		0.7876		0.8893		0.0000		0.3644		0.00045477
17		0.7501		0.8987		0.0000		0.3669		0.00045173
18		0.7627		0.9502		0.0000		0.3437		0.00044870
19		0.7335		0.8546		0.0000		0.3863		0.00044566
20		0.7050		0.8176		0.0000		0.4048		0.00044262
21		0.6620		0.8162		0.0000		0.3862		0.00043958
22		0.6864		0.8098		0.0000		0.3835		0.00043653
23		0.6826		0.7341		0.0000		0.3905		0.00043349
24		0.6318		0.7932		0.0000		0.4019		0.00043044
25		0.6358		0.8217		0.0000		0.3733		0.00042739
26		0.6415		0.8319		0.0000		0.3856		0.00042433
27		0.6594		0.8552		0.0000		0.3738		0.00042128
28		0.5745		0.8131		0.0000		0.3819		0.00041822
29		0.5592		0.6958		0.0000		0.4242		0.00041516
30		0.5793		0.7968		0.0000		0.4241		0.00041209
31		0.5970		0.7981		0.0000		0.4198		0.00040903
32		0.5654		1.1298		0.0000		0.3380		0.00040596
33		0.5625		0.6978		0.0000		0.4347		0.00040289
34		0.5910		0.8190		0.0000		0.4003		0.00039981
35		0.5608		0.6907		0.0000		0.4270		0.00039673
36		0.5035		0.6739		0.0000		0.4357		0.00039366
37		0.4852		0.7282		0.0000		0.4424		0.00039057
38		0.5658		0.7427		0.0000		0.4062		0.00038749
39		0.5135		0.6754		0.0000		0.4509		0.00038440
40		0.4955		0.8372		0.0000		0.3969		0.00038131
41		0.4626		0.6560		0.0000		0.4378		0.00037822
42		0.4742		0.8166		0.0000		0.4070		0.00037512
43		0.5189		0.6634		0.0000		0.4272		0.00037202
44		0.4948		0.7849		0.0000		0.4262		0.00036892
45		0.4495		0.6681		0.0000		0.4525		0.00036582
46		0.4279		0.7207		0.0000		0.4541		0.00036271
47		0.4523		0.8009		0.0000		0.4378		0.00035960
48		0.4417		0.8584		0.0000		0.4585		0.00035649
49		0.5432		0.7903		0.0000		0.4027		0.00035337
50		0.4582		0.6184		0.0000		0.4588		0.00035025
51		0.4284		0.6636		0.0000		0.4703		0.00034713
52		0.4249		0.6882		0.0000		0.4405		0.00034400
53		0.4091		0.6703		0.0000		0.4563		0.00034087
54		0.4695		0.6167		0.0000		0.4710		0.00033774
55		0.4136		0.6528		0.0000		0.4656		0.00033460
56		0.4048		0.6313		0.0000		0.4864		0.00033147
57		0.3895		0.6412		0.0000		0.4837		0.00032832
58		0.3764		0.6607		0.0000		0.4688		0.00032518
59		0.3828		0.6250		0.0000		0.4736		0.00032203
60		0.3767		0.7031		0.0000		0.4572		0.00031888
61		0.3758		0.6880		0.0000		0.4859		0.00031572
62		0.4324		0.7895		0.0000		0.4278		0.00031256
63		0.4627		0.5932		0.0000		0.4787		0.00030940
64		0.4467		0.6861		0.0000		0.4496		0.00030624
65		0.3762		0.6745		0.0000		0.4798		0.00030307
66		0.4276		0.6780		0.0000		0.4530		0.00029989
67		0.4017		0.6182		0.0000		0.4855		0.00029671
68		0.3483		0.6106		0.0000		0.4985		0.00029353
69		0.3344		0.6221		0.0000		0.5018		0.00029035
70		0.3373		0.6083		0.0000		0.4924		0.00028716
71		0.3404		0.6432		0.0000		0.5210		0.00028397
72		0.4451		0.6217		0.0000		0.4825		0.00028077
73		0.3454		0.6358		0.0000		0.4735		0.00027757
74		0.3363		0.5946		0.0000		0.5011		0.00027437
75		0.3194		0.6466		0.0000		0.5101		0.00027116
76		0.3918		0.6554		0.0000		0.4826		0.00026794
77		0.3409		0.6122		0.0000		0.5059		0.00026473
78		0.3225		0.6592		0.0000		0.5230		0.00026150
79		0.3078		0.6200		0.0000		0.5189		0.00025828
80		0.3280		0.6941		0.0000		0.4877		0.00025505
81		0.4056		0.7012		0.0000		0.4709		0.00025181
82		0.3729		0.5873		0.0000		0.4912		0.00024857
83		0.3138		0.6178		0.0000		0.5151		0.00024533
84		0.3195		0.6167		0.0000		0.5149		0.00024208
85		0.3030		0.5886		0.0000		0.5048		0.00023882
86		0.2979		0.6608		0.0000		0.5167		0.00023556
87		0.2951		0.6541		0.0000		0.5123		0.00023230
88		0.2989		0.6158		0.0000		0.5173		0.00022903
89		0.3237		0.7554		0.0000		0.4528		0.00022576
90		0.3463		0.6262		0.0000		0.4738		0.00022248
91		0.3098		0.6894		0.0000		0.5214		0.00021919
92		0.2993		0.6171		0.0000		0.5113		0.00021590
93		0.3085		0.7246		0.0000		0.4573		0.00021260
94		0.3156		0.5950		0.0000		0.5246		0.00020930
95		0.2797		0.6541		0.0000		0.5441		0.00020600
96		0.2720		0.6103		0.0000		0.5450		0.00020268
97		0.2754		0.6152		0.0000		0.5348		0.00019936
98		0.2722		0.6706		0.0000		0.5252		0.00019604
99		0.2790		0.6607		0.0000		0.5178		0.00019270
100		0.2780		0.6335		0.0000		0.5164		0.00018937
101		0.2768		0.7081		0.0000		0.4882		0.00018602
102		0.3190		0.6748		0.0000		0.5312		0.00018267
103		0.2779		0.6492		0.0000		0.5273		0.00017931
104		0.2595		0.6455		0.0000		0.5270		0.00017594
105		0.2617		0.6150		0.0000		0.5312		0.00017257
106		0.2568		0.6879		0.0000		0.5379		0.00016919
107		0.2619		0.6356		0.0000		0.5278		0.00016580
108		0.3041		0.6695		0.0000		0.4794		0.00016241
109		0.2690		0.6243		0.0000		0.5342		0.00015901
110		0.2500		0.6106		0.0000		0.5569		0.00015559
111		0.2493		0.6712		0.0000		0.5417		0.00015217
112		0.2470		0.6630		0.0000		0.5187		0.00014875
113		0.2503		0.6507		0.0000		0.5493		0.00014531
114		0.2443		0.6746		0.0000		0.5262		0.00014186
115		0.2419		0.6856		0.0000		0.5386		0.00013841
116		0.2394		0.7000		0.0000		0.5247		0.00013494
117		0.2395		0.6878		0.0000		0.5374		0.00013147
118		0.2351		0.7246		0.0000		0.5402		0.00012798
119		0.2470		0.7449		0.0000		0.5122		0.00012449
120		0.2457		0.8458		0.0000		0.5063		0.00012098
121		0.2411		0.6281		0.0000		0.5234		0.00011746
122		0.2305		0.7130		0.0000		0.5453		0.00011393
123		0.2249		0.7419		0.0000		0.5473		0.00011039
124		0.2322		0.6393		0.0000		0.5542		0.00010684
125		0.2239		0.6338		0.0000		0.5473		0.00010327
126		0.2257		0.7929		0.0000		0.5456		0.00009969
127		0.2188		0.7001		0.0000		0.5574		0.00009609
128		0.2187		0.6373		0.0000		0.5588		0.00009248
129		0.2236		0.6503		0.0000		0.5743		0.00008885
