Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9293		2.9175		0.0000		0.2882		0.00050000
2		2.9056		2.9088		0.0000		0.3005		0.00049775
3		2.9004		2.9031		0.0000		0.3530		0.00049550
4		2.8983		2.9026		0.0000		0.3502		0.00049324
5		2.8974		2.8959		0.0000		0.3929		0.00049099
6		2.8965		2.9022		0.0000		0.3417		0.00048874
7		2.8984		2.8959		0.0000		0.3634		0.00048648
8		2.8944		2.8974		0.0000		0.4029		0.00048422
9		2.8961		2.8949		0.0000		0.3980		0.00048196
10		2.8951		2.8992		0.0000		0.3684		0.00047970
11		2.8940		2.8969		0.0000		0.3776		0.00047744
12		2.8930		2.8960		0.0000		0.3864		0.00047518
13		2.8935		2.9009		0.0000		0.3672		0.00047292
14		2.8956		2.8993		0.0000		0.3702		0.00047065
15		2.8939		2.8955		0.0000		0.3983		0.00046839
16		2.8944		2.9034		0.0000		0.3265		0.00046612
17		2.8938		2.8932		0.0000		0.4154		0.00046385
18		2.8926		2.8977		0.0000		0.3871		0.00046158
19		2.8945		2.8979		0.0000		0.3945		0.00045931
20		2.8920		2.8957		0.0000		0.4130		0.00045704
21		2.8917		2.8942		0.0000		0.4171		0.00045477
22		2.8930		2.8949		0.0000		0.4021		0.00045249
23		2.8917		2.8918		0.0000		0.4104		0.00045022
24		2.8923		2.8925		0.0000		0.3862		0.00044794
25		2.8926		2.8978		0.0000		0.3706		0.00044566
26		2.8923		2.8943		0.0000		0.4015		0.00044338
27		2.8916		2.8944		0.0000		0.4151		0.00044110
28		2.8929		2.8941		0.0000		0.3927		0.00043882
29		2.8917		2.8962		0.0000		0.3818		0.00043653
30		2.8913		2.8955		0.0000		0.3843		0.00043425
31		2.8920		2.8923		0.0000		0.4138		0.00043196
32		2.8913		2.9007		0.0000		0.4007		0.00042968
33		2.8920		2.8942		0.0000		0.4195		0.00042739
34		2.8909		2.8979		0.0000		0.3821		0.00042510
35		2.8929		2.9007		0.0000		0.3740		0.00042281
36		2.8922		2.8923		0.0000		0.4059		0.00042051
37		2.8901		2.8921		0.0000		0.4088		0.00041822
38		2.8932		2.8932		0.0000		0.4103		0.00041592
39		2.8908		2.8934		0.0000		0.3931		0.00041362
40		2.8909		2.8925		0.0000		0.3925		0.00041133
41		2.8912		2.8923		0.0000		0.3929		0.00040903
42		2.8910		2.8916		0.0000		0.4080		0.00040672
43		2.8910		2.8942		0.0000		0.4074		0.00040442
44		2.8908		2.8928		0.0000		0.3944		0.00040212
45		2.8908		2.8962		0.0000		0.3645		0.00039981
46		2.8903		2.8938		0.0000		0.4121		0.00039750
47		2.8903		2.8924		0.0000		0.4082		0.00039520
48		2.8907		2.8952		0.0000		0.3807		0.00039288
49		2.8908		2.8949		0.0000		0.3945		0.00039057
50		2.8917		2.9007		0.0000		0.3946		0.00038826
51		2.8906		2.8929		0.0000		0.4021		0.00038594
52		2.8892		2.8915		0.0000		0.3971		0.00038363
53		2.8901		2.9052		0.0000		0.3525		0.00038131
54		2.8902		2.8933		0.0000		0.4150		0.00037899
55		2.8893		2.9000		0.0000		0.3866		0.00037667
56		2.8899		2.8943		0.0000		0.3827		0.00037435
57		2.8885		2.8946		0.0000		0.4146		0.00037202
58		2.8899		2.8931		0.0000		0.3958		0.00036970
59		2.8908		2.8935		0.0000		0.4187		0.00036737
60		2.8893		2.8956		0.0000		0.3995		0.00036504
61		2.8892		2.8908		0.0000		0.4115		0.00036271
62		2.8892		2.8941		0.0000		0.4094		0.00036038
63		2.8902		2.8955		0.0000		0.3768		0.00035804
64		2.8892		2.8912		0.0000		0.4169		0.00035571
65		2.8906		2.8929		0.0000		0.3826		0.00035337
66		2.8884		2.8902		0.0000		0.4052		0.00035103
67		2.8892		2.8913		0.0000		0.4344		0.00034869
68		2.8902		2.8917		0.0000		0.4045		0.00034635
69		2.8887		2.8910		0.0000		0.3822		0.00034400
70		2.8883		2.8967		0.0000		0.3899		0.00034165
71		2.8885		2.8955		0.0000		0.3976		0.00033931
72		2.8887		2.8907		0.0000		0.4027		0.00033696
73		2.8875		2.8910		0.0000		0.3962		0.00033460
74		2.8884		2.8941		0.0000		0.4042		0.00033225
75		2.8876		2.8940		0.0000		0.4172		0.00032990
76		2.8891		2.8942		0.0000		0.3915		0.00032754
77		2.8888		2.8915		0.0000		0.4261		0.00032518
78		2.8877		2.8936		0.0000		0.4099		0.00032282
79		2.8877		2.8923		0.0000		0.3934		0.00032045
80		2.8883		2.8920		0.0000		0.3908		0.00031809
81		2.8878		2.8957		0.0000		0.3886		0.00031572
82		2.8876		2.8917		0.0000		0.3898		0.00031335
83		2.8871		2.8908		0.0000		0.4112		0.00031098
84		2.8877		2.8929		0.0000		0.3957		0.00030861
85		2.8875		2.8896		0.0000		0.4243		0.00030624
86		2.8868		2.8910		0.0000		0.4448		0.00030386
87		2.8871		2.8929		0.0000		0.4284		0.00030148
88		2.8875		2.8916		0.0000		0.4054		0.00029910
89		2.8879		2.8912		0.0000		0.4222		0.00029671
90		2.8887		2.8911		0.0000		0.4030		0.00029433
91		2.8865		2.8892		0.0000		0.4201		0.00029194
92		2.8869		2.8897		0.0000		0.4109		0.00028955
93		2.8871		2.8895		0.0000		0.3962		0.00028716
94		2.8872		2.8908		0.0000		0.4183		0.00028477
95		2.8869		2.8900		0.0000		0.4310		0.00028237
96		2.8864		2.8896		0.0000		0.4092		0.00027997
97		2.8875		2.8899		0.0000		0.4438		0.00027757
98		2.8878		2.8889		0.0000		0.4328		0.00027517
99		2.8864		2.8911		0.0000		0.4415		0.00027276
100		2.8869		2.8897		0.0000		0.4331		0.00027035
101		2.8858		2.8902		0.0000		0.4384		0.00026794
102		2.8859		2.8887		0.0000		0.4334		0.00026553
103		2.8856		2.8910		0.0000		0.4335		0.00026312
104		2.8874		2.8923		0.0000		0.3954		0.00026070
105		2.8867		2.8923		0.0000		0.4071		0.00025828
106		2.8861		2.8911		0.0000		0.4257		0.00025586
107		2.8851		2.8902		0.0000		0.4482		0.00025343
108		2.8860		2.8906		0.0000		0.4368		0.00025100
109		2.8860		2.8913		0.0000		0.4319		0.00024857
110		2.8862		2.8905		0.0000		0.3937		0.00024614
111		2.8867		2.8893		0.0000		0.4075		0.00024370
112		2.8854		2.8886		0.0000		0.4255		0.00024126
113		2.8847		2.8902		0.0000		0.4263		0.00023882
114		2.8853		2.8935		0.0000		0.4074		0.00023638
115		2.8867		2.8891		0.0000		0.4230		0.00023393
116		2.8849		2.8895		0.0000		0.4355		0.00023148
117		2.8847		2.8877		0.0000		0.4342		0.00022903
118		2.8857		2.8895		0.0000		0.4349		0.00022658
119		2.8850		2.8897		0.0000		0.4136		0.00022412
120		2.8851		2.8889		0.0000		0.4357		0.00022166
121		2.8842		2.8901		0.0000		0.4382		0.00021919
122		2.8850		2.8910		0.0000		0.4311		0.00021672
123		2.8855		2.8886		0.0000		0.4237		0.00021425
124		2.8853		2.8890		0.0000		0.4327		0.00021178
125		2.8846		2.8886		0.0000		0.4317		0.00020930
126		2.8839		2.8873		0.0000		0.4430		0.00020682
127		2.8847		2.8887		0.0000		0.4294		0.00020434
128		2.8847		2.8967		0.0000		0.3954		0.00020185
129		2.8843		2.8899		0.0000		0.4229		0.00019936
130		2.8845		2.8885		0.0000		0.4274		0.00019687
131		2.8849		2.8877		0.0000		0.4280		0.00019437
132		2.8837		2.8916		0.0000		0.4192		0.00019187
133		2.8836		2.8890		0.0000		0.4269		0.00018937
134		2.8842		2.8975		0.0000		0.4221		0.00018686
135		2.8846		2.8875		0.0000		0.4371		0.00018435
136		2.8833		2.8886		0.0000		0.4374		0.00018183
137		2.8834		2.8894		0.0000		0.4258		0.00017931
138		2.8839		2.8875		0.0000		0.4362		0.00017679
139		2.8832		2.8882		0.0000		0.4343		0.00017426
140		2.8843		2.8883		0.0000		0.4345		0.00017173
141		2.8833		2.8881		0.0000		0.4395		0.00016919
142		2.8832		2.8891		0.0000		0.4318		0.00016665
143		2.8828		2.8878		0.0000		0.4376		0.00016411
144		2.8843		2.8887		0.0000		0.4344		0.00016156
145		2.8835		2.8884		0.0000		0.4293		0.00015901
146		2.8826		2.8882		0.0000		0.4192		0.00015645
147		2.8823		2.8908		0.0000		0.4326		0.00015389
148		2.8832		2.8887		0.0000		0.4335		0.00015132
149		2.8833		2.8890		0.0000		0.4322		0.00014875
150		2.8824		2.8875		0.0000		0.4380		0.00014617
151		2.8822		2.8871		0.0000		0.4414		0.00014359
152		2.8824		2.8884		0.0000		0.4453		0.00014100
153		2.8824		2.8877		0.0000		0.4421		0.00013841
154		2.8823		2.8896		0.0000		0.4480		0.00013581
155		2.8825		2.8877		0.0000		0.4440		0.00013321
156		2.8818		2.8873		0.0000		0.4457		0.00013060
157		2.8822		2.8873		0.0000		0.4377		0.00012798
158		2.8826		2.8881		0.0000		0.4437		0.00012536
159		2.8816		2.8879		0.0000		0.4462		0.00012273
160		2.8816		2.8885		0.0000		0.4512		0.00012010
161		2.8814		2.8873		0.0000		0.4424		0.00011746
162		2.8822		2.8876		0.0000		0.4299		0.00011482
163		2.8818		2.8887		0.0000		0.4202		0.00011216
164		2.8818		2.8874		0.0000		0.4517		0.00010950
