Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.8714		2.8936		0.0000		0.1410		0.00050000
2		2.8226		2.8285		0.0000		0.2082		0.00049850
3		2.8033		2.8080		0.0000		0.2371		0.00049700
4		2.7902		2.7927		0.0000		0.2386		0.00049550
5		2.7796		2.7826		0.0000		0.2775		0.00049400
6		2.7724		2.7876		0.0000		0.2650		0.00049249
7		2.7650		2.7723		0.0000		0.3005		0.00049099
8		2.7582		2.7653		0.0000		0.3365		0.00048949
9		2.7559		2.7699		0.0000		0.2775		0.00048798
10		2.7498		2.7478		0.0000		0.3343		0.00048648
11		2.7430		2.7799		0.0000		0.2869		0.00048497
12		2.7436		2.7420		0.0000		0.3461		0.00048347
13		2.7377		2.7347		0.0000		0.3615		0.00048196
14		2.7374		2.7464		0.0000		0.3639		0.00048046
15		2.7335		2.7369		0.0000		0.3668		0.00047895
16		2.7293		2.7470		0.0000		0.3254		0.00047744
17		2.7289		2.7301		0.0000		0.3648		0.00047593
18		2.7258		2.7389		0.0000		0.3801		0.00047443
19		2.7250		2.7458		0.0000		0.3407		0.00047292
20		2.7246		2.7239		0.0000		0.3825		0.00047141
21		2.7223		2.7384		0.0000		0.3858		0.00046990
22		2.7198		2.7204		0.0000		0.3986		0.00046839
23		2.7187		2.7370		0.0000		0.3515		0.00046688
24		2.7192		2.7243		0.0000		0.3892		0.00046536
25		2.7159		2.7164		0.0000		0.4305		0.00046385
26		2.7143		2.7189		0.0000		0.3808		0.00046234
27		2.7138		2.7305		0.0000		0.3626		0.00046083
28		2.7119		2.7225		0.0000		0.4018		0.00045931
29		2.7128		2.7238		0.0000		0.3973		0.00045780
30		2.7187		2.7329		0.0000		0.3618		0.00045628
31		2.7105		2.7219		0.0000		0.3735		0.00045477
32		2.7085		2.7152		0.0000		0.4085		0.00045325
33		2.7099		2.7114		0.0000		0.4329		0.00045173
34		2.7050		2.7143		0.0000		0.4199		0.00045022
35		2.7077		2.7198		0.0000		0.4043		0.00044870
36		2.7057		2.7146		0.0000		0.4203		0.00044718
37		2.7040		2.7150		0.0000		0.4212		0.00044566
38		2.7079		2.7143		0.0000		0.3999		0.00044414
39		2.7087		2.7104		0.0000		0.4330		0.00044262
40		2.7035		2.7071		0.0000		0.4446		0.00044110
41		2.7018		2.7108		0.0000		0.4193		0.00043958
42		2.7015		2.7147		0.0000		0.4055		0.00043806
43		2.7016		2.7072		0.0000		0.4124		0.00043653
44		2.7021		2.7177		0.0000		0.4369		0.00043501
45		2.7011		2.7128		0.0000		0.3955		0.00043349
46		2.7017		2.7106		0.0000		0.4253		0.00043196
47		2.6986		2.7114		0.0000		0.4421		0.00043044
48		2.7016		2.7059		0.0000		0.4326		0.00042891
49		2.6960		2.7059		0.0000		0.4260		0.00042739
50		2.6978		2.7079		0.0000		0.4454		0.00042586
51		2.6997		2.7130		0.0000		0.4102		0.00042433
52		2.6985		2.7220		0.0000		0.4045		0.00042281
53		2.6997		2.6998		0.0000		0.4616		0.00042128
54		2.6959		2.7078		0.0000		0.4354		0.00041975
55		2.6971		2.7075		0.0000		0.4123		0.00041822
56		2.6985		2.7030		0.0000		0.4574		0.00041669
57		2.6948		2.7033		0.0000		0.4516		0.00041516
58		2.6944		2.7100		0.0000		0.4402		0.00041362
59		2.6944		2.7034		0.0000		0.4382		0.00041209
60		2.7001		2.7141		0.0000		0.4047		0.00041056
61		2.6930		2.7013		0.0000		0.4471		0.00040903
62		2.6928		2.6990		0.0000		0.4636		0.00040749
63		2.6933		2.7025		0.0000		0.4294		0.00040596
64		2.6907		2.7038		0.0000		0.4597		0.00040442
65		2.6930		2.7162		0.0000		0.4313		0.00040289
66		2.6952		2.7023		0.0000		0.4386		0.00040135
67		2.6891		2.7265		0.0000		0.4092		0.00039981
68		2.6973		2.6981		0.0000		0.4510		0.00039827
69		2.6924		2.7046		0.0000		0.4475		0.00039673
70		2.6899		2.7099		0.0000		0.4473		0.00039520
71		2.6883		2.6997		0.0000		0.4574		0.00039366
72		2.6929		2.6968		0.0000		0.4772		0.00039211
73		2.6898		2.7143		0.0000		0.4372		0.00039057
74		2.6941		2.7013		0.0000		0.4622		0.00038903
75		2.6882		2.6971		0.0000		0.4830		0.00038749
76		2.6907		2.7081		0.0000		0.4255		0.00038594
77		2.6913		2.7006		0.0000		0.4591		0.00038440
78		2.6879		2.7271		0.0000		0.4036		0.00038286
79		2.6924		2.6989		0.0000		0.4692		0.00038131
80		2.6858		2.6985		0.0000		0.4840		0.00037976
81		2.6903		2.7036		0.0000		0.4562		0.00037822
82		2.6878		2.7038		0.0000		0.4881		0.00037667
83		2.6934		2.7081		0.0000		0.4061		0.00037512
84		2.6904		2.7052		0.0000		0.4625		0.00037357
85		2.6860		2.6977		0.0000		0.4705		0.00037202
86		2.6881		2.7007		0.0000		0.4695		0.00037047
87		2.6842		2.7098		0.0000		0.4278		0.00036892
88		2.6917		2.7089		0.0000		0.4131		0.00036737
89		2.6900		2.6976		0.0000		0.4629		0.00036582
90		2.6841		2.6975		0.0000		0.4864		0.00036426
91		2.6910		2.6985		0.0000		0.4694		0.00036271
92		2.6843		2.6987		0.0000		0.5020		0.00036115
93		2.6858		2.6983		0.0000		0.4681		0.00035960
94		2.6856		2.7021		0.0000		0.4814		0.00035804
95		2.6875		2.7027		0.0000		0.4324		0.00035649
96		2.6861		2.7037		0.0000		0.4686		0.00035493
