Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.9916		1.4846		0.0000		0.3579		0.00050000
2		0.9835		0.9783		0.0000		0.3888		0.00049700
3		0.8679		0.9826		0.0000		0.3695		0.00049400
4		0.7300		0.8538		0.0000		0.4146		0.00049099
5		0.5995		0.7445		0.0000		0.4442		0.00048798
6		0.6737		1.3099		0.0000		0.3118		0.00048497
7		0.6048		0.7249		0.0000		0.4602		0.00048196
8		0.5499		0.8623		0.0000		0.4444		0.00047895
9		0.5122		0.8461		0.0000		0.4345		0.00047593
10		0.5788		0.7721		0.0000		0.4392		0.00047292
11		0.5436		0.7136		0.0000		0.4853		0.00046990
12		0.5143		0.6553		0.0000		0.4844		0.00046688
13		0.4688		1.0299		0.0000		0.3990		0.00046385
14		0.4429		0.6840		0.0000		0.4759		0.00046083
15		0.4318		0.6924		0.0000		0.5053		0.00045780
16		0.4348		0.6907		0.0000		0.4707		0.00045477
17		0.4533		0.7541		0.0000		0.4397		0.00045173
18		0.4745		0.6282		0.0000		0.4743		0.00044870
19		0.4055		0.9787		0.0000		0.4178		0.00044566
20		0.5101		0.6118		0.0000		0.5196		0.00044262
21		0.4467		0.6876		0.0000		0.4455		0.00043958
22		0.3823		0.5891		0.0000		0.5172		0.00043653
23		0.3882		0.6367		0.0000		0.4870		0.00043349
24		0.4145		0.6828		0.0000		0.4894		0.00043044
25		0.3778		0.6249		0.0000		0.5121		0.00042739
26		0.3631		0.6074		0.0000		0.4953		0.00042433
27		0.4565		0.7548		0.0000		0.4646		0.00042128
28		0.4495		1.0835		0.0000		0.3762		0.00041822
29		0.4942		0.6520		0.0000		0.4751		0.00041516
30		0.3668		0.6043		0.0000		0.5096		0.00041209
31		0.3303		0.7345		0.0000		0.4699		0.00040903
32		0.3470		0.6942		0.0000		0.4750		0.00040596
33		0.4193		0.6131		0.0000		0.5122		0.00040289
34		0.3566		0.6175		0.0000		0.4899		0.00039981
35		0.3611		0.9135		0.0000		0.4181		0.00039673
36		0.4550		0.5992		0.0000		0.4692		0.00039366
37		0.4329		0.6937		0.0000		0.4762		0.00039057
38		0.3831		0.8450		0.0000		0.4655		0.00038749
39		0.3525		0.5922		0.0000		0.5003		0.00038440
40		0.3330		0.5938		0.0000		0.5299		0.00038131
41		0.3142		0.6018		0.0000		0.5291		0.00037822
42		0.2965		0.6519		0.0000		0.5458		0.00037512
43		0.3292		0.8333		0.0000		0.4571		0.00037202
44		0.5445		0.6512		0.0000		0.4757		0.00036892
45		0.3416		0.6135		0.0000		0.5272		0.00036582
46		0.3130		0.6143		0.0000		0.5363		0.00036271
47		0.2912		0.6407		0.0000		0.5317		0.00035960
48		0.3075		0.6377		0.0000		0.5332		0.00035649
49		0.3707		0.6802		0.0000		0.4629		0.00035337
50		0.3498		0.6522		0.0000		0.5062		0.00035025
51		0.3075		0.6380		0.0000		0.5220		0.00034713
52		0.2828		0.6003		0.0000		0.5390		0.00034400
53		0.2857		0.6598		0.0000		0.5124		0.00034087
54		0.3475		0.9722		0.0000		0.4325		0.00033774
55		0.3721		0.6574		0.0000		0.5074		0.00033460
56		0.2895		0.6177		0.0000		0.5315		0.00033147
57		0.2908		0.7751		0.0000		0.4414		0.00032832
58		0.3240		0.6265		0.0000		0.4940		0.00032518
59		0.2815		0.6461		0.0000		0.5374		0.00032203
60		0.2726		0.6480		0.0000		0.5503		0.00031888
61		0.2726		0.7640		0.0000		0.5171		0.00031572
62		0.3095		1.0876		0.0000		0.4701		0.00031256
63		0.3840		0.6522		0.0000		0.5340		0.00030940
64		0.2745		0.5996		0.0000		0.5683		0.00030624
65		0.3078		0.8405		0.0000		0.4858		0.00030307
66		0.3419		0.6539		0.0000		0.4920		0.00029989
67		0.2816		0.6861		0.0000		0.5359		0.00029671
68		0.2592		0.6129		0.0000		0.5400		0.00029353
69		0.2663		0.6470		0.0000		0.5649		0.00029035
70		0.2580		0.6972		0.0000		0.5560		0.00028716
71		0.2716		0.6528		0.0000		0.5050		0.00028397
72		0.4006		0.6281		0.0000		0.5025		0.00028077
73		0.2729		0.6425		0.0000		0.5612		0.00027757
74		0.2579		0.6542		0.0000		0.5559		0.00027437
75		0.2551		0.6600		0.0000		0.5625		0.00027116
76		0.2499		0.6669		0.0000		0.5387		0.00026794
77		0.2814		0.6589		0.0000		0.5468		0.00026473
78		0.2646		0.6362		0.0000		0.5467		0.00026150
79		0.2639		0.6664		0.0000		0.5582		0.00025828
80		0.2475		0.6336		0.0000		0.5464		0.00025505
81		0.2809		0.5893		0.0000		0.5397		0.00025181
82		0.2491		0.6449		0.0000		0.5739		0.00024857
83		0.2510		0.5965		0.0000		0.5556		0.00024533
84		0.2667		1.0767		0.0000		0.4223		0.00024208
85		0.3263		0.5722		0.0000		0.5316		0.00023882
86		0.2384		0.6216		0.0000		0.5788		0.00023556
87		0.2353		0.6405		0.0000		0.5705		0.00023230
88		0.2295		0.6294		0.0000		0.5790		0.00022903
89		0.2263		0.6535		0.0000		0.5783		0.00022576
90		0.2380		0.6767		0.0000		0.5419		0.00022248
