Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1109		1.8383		0.0000		0.1885		0.00050000
2		1.6125		1.6061		0.0000		0.2324		0.00049700
3		1.4109		1.4083		0.0000		0.2647		0.00049400
4		1.3000		1.3345		0.0000		0.2829		0.00049099
5		1.2167		1.5154		0.0000		0.2382		0.00048798
6		1.1422		1.2022		0.0000		0.3044		0.00048497
7		1.0918		1.2747		0.0000		0.2773		0.00048196
8		1.0422		1.1501		0.0000		0.3128		0.00047895
9		0.9993		1.1890		0.0000		0.3195		0.00047593
10		0.9442		1.1231		0.0000		0.3420		0.00047292
11		0.9179		0.9755		0.0000		0.3544		0.00046990
12		0.8657		0.9804		0.0000		0.3476		0.00046688
13		0.8856		0.9748		0.0000		0.3591		0.00046385
14		0.8211		0.9452		0.0000		0.3724		0.00046083
15		0.8091		0.9781		0.0000		0.3642		0.00045780
16		0.7703		1.0068		0.0000		0.3449		0.00045477
17		0.7832		0.8585		0.0000		0.3951		0.00045173
18		0.7283		0.9115		0.0000		0.3919		0.00044870
19		0.7236		0.8844		0.0000		0.3786		0.00044566
20		0.7086		0.7840		0.0000		0.4123		0.00044262
21		0.6992		0.8589		0.0000		0.3972		0.00043958
22		0.7206		0.8493		0.0000		0.3947		0.00043653
23		0.6899		0.8218		0.0000		0.3890		0.00043349
24		0.6276		0.8068		0.0000		0.3984		0.00043044
25		0.6354		0.8365		0.0000		0.4164		0.00042739
26		0.6965		0.7532		0.0000		0.4175		0.00042433
27		0.6145		0.7599		0.0000		0.4143		0.00042128
28		0.6071		1.0252		0.0000		0.3536		0.00041822
29		0.6170		0.7824		0.0000		0.4014		0.00041516
30		0.6073		0.7653		0.0000		0.4089		0.00041209
31		0.5819		0.8362		0.0000		0.4174		0.00040903
32		0.5466		0.6877		0.0000		0.4488		0.00040596
33		0.5523		0.8700		0.0000		0.3943		0.00040289
34		0.6023		0.7168		0.0000		0.4038		0.00039981
35		0.5186		0.7491		0.0000		0.4323		0.00039673
36		0.5709		0.8339		0.0000		0.3897		0.00039366
37		0.5745		0.7339		0.0000		0.4450		0.00039057
38		0.5146		0.8485		0.0000		0.3793		0.00038749
39		0.5302		0.6844		0.0000		0.4414		0.00038440
40		0.5184		0.7853		0.0000		0.4184		0.00038131
41		0.4765		0.8004		0.0000		0.4345		0.00037822
42		0.4826		0.6488		0.0000		0.4603		0.00037512
43		0.4598		0.6924		0.0000		0.4584		0.00037202
44		0.5535		0.8547		0.0000		0.4299		0.00036892
45		0.5040		0.6745		0.0000		0.4513		0.00036582
46		0.4443		0.6412		0.0000		0.4705		0.00036271
47		0.4474		0.7631		0.0000		0.4333		0.00035960
48		0.5291		0.6735		0.0000		0.4417		0.00035649
49		0.4329		0.6260		0.0000		0.4865		0.00035337
50		0.4420		0.7061		0.0000		0.4815		0.00035025
51		0.4221		0.6248		0.0000		0.4593		0.00034713
52		0.4166		0.6773		0.0000		0.4638		0.00034400
