Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1463		1.9400		0.0000		0.1958		0.00050000
2		1.6650		1.5901		0.0000		0.2244		0.00049700
3		1.4542		1.4509		0.0000		0.2430		0.00049400
4		1.3105		1.3172		0.0000		0.2972		0.00049099
5		1.2165		1.3447		0.0000		0.2671		0.00048798
6		1.1463		1.1877		0.0000		0.3179		0.00048497
7		1.0738		1.1629		0.0000		0.3096		0.00048196
8		1.0033		1.1336		0.0000		0.3309		0.00047895
9		0.9683		1.0326		0.0000		0.3367		0.00047593
10		0.9317		1.1727		0.0000		0.2888		0.00047292
11		0.9327		0.9843		0.0000		0.3347		0.00046990
12		0.8780		1.0413		0.0000		0.3408		0.00046688
13		0.8161		1.0436		0.0000		0.3204		0.00046385
14		0.8377		0.9556		0.0000		0.3626		0.00046083
15		0.7811		0.8805		0.0000		0.3529		0.00045780
16		0.7420		0.9496		0.0000		0.3545		0.00045477
17		0.7514		0.8876		0.0000		0.3806		0.00045173
18		0.7269		0.8328		0.0000		0.3843		0.00044870
19		0.7215		0.9501		0.0000		0.3542		0.00044566
20		0.6864		0.9254		0.0000		0.3550		0.00044262
21		0.6898		0.9403		0.0000		0.3739		0.00043958
22		0.6487		0.8050		0.0000		0.3844		0.00043653
23		0.6448		0.8407		0.0000		0.3908		0.00043349
24		0.6267		0.7635		0.0000		0.4007		0.00043044
25		0.6133		0.8263		0.0000		0.3849		0.00042739
26		0.6794		0.9024		0.0000		0.3801		0.00042433
27		0.6121		0.7742		0.0000		0.4023		0.00042128
28		0.5880		0.7150		0.0000		0.4101		0.00041822
29		0.5560		1.0776		0.0000		0.3602		0.00041516
30		0.6104		0.7187		0.0000		0.4291		0.00041209
31		0.5344		0.7089		0.0000		0.4162		0.00040903
32		0.5376		0.7174		0.0000		0.4129		0.00040596
33		0.5248		0.9238		0.0000		0.3751		0.00040289
34		0.6288		0.7156		0.0000		0.4118		0.00039981
35		0.5079		0.6533		0.0000		0.4341		0.00039673
36		0.5067		0.7191		0.0000		0.4135		0.00039366
37		0.5437		0.6830		0.0000		0.4283		0.00039057
38		0.4900		0.7393		0.0000		0.4091		0.00038749
39		0.4832		0.7102		0.0000		0.4239		0.00038440
40		0.4733		0.6631		0.0000		0.4371		0.00038131
41		0.5133		0.8233		0.0000		0.3923		0.00037822
42		0.5068		0.6436		0.0000		0.4362		0.00037512
43		0.5360		0.8455		0.0000		0.3875		0.00037202
44		0.4948		0.6650		0.0000		0.4470		0.00036892
45		0.4333		0.6189		0.0000		0.4627		0.00036582
46		0.4394		0.6817		0.0000		0.4541		0.00036271
47		0.4942		0.6121		0.0000		0.4420		0.00035960
48		0.4142		0.6327		0.0000		0.4672		0.00035649
49		0.4276		0.6117		0.0000		0.4710		0.00035337
50		0.4050		0.6244		0.0000		0.4580		0.00035025
51		0.4802		0.8110		0.0000		0.4339		0.00034713
52		0.4500		0.6942		0.0000		0.4694		0.00034400
53		0.4026		0.6278		0.0000		0.4677		0.00034087
54		0.3931		0.6634		0.0000		0.4481		0.00033774
55		0.4932		0.7041		0.0000		0.4515		0.00033460
56		0.4464		0.6642		0.0000		0.4555		0.00033147
57		0.3904		0.6341		0.0000		0.4695		0.00032832
58		0.3748		0.6635		0.0000		0.4661		0.00032518
59		0.3934		0.6687		0.0000		0.4678		0.00032203
60		0.3740		0.6249		0.0000		0.4764		0.00031888
61		0.4050		0.8460		0.0000		0.3764		0.00031572
62		0.4673		0.6328		0.0000		0.4535		0.00031256
63		0.4073		0.6179		0.0000		0.4743		0.00030940
64		0.3618		0.6200		0.0000		0.4982		0.00030624
65		0.3462		0.6278		0.0000		0.4985		0.00030307
