Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1098		1.6085		0.0000		0.2627		0.00050000
2		1.2847		1.2688		0.0000		0.3396		0.00049099
3		0.9710		1.0972		0.0000		0.3762		0.00048196
4		0.9011		1.0032		0.0000		0.3465		0.00047292
5		0.7590		1.0119		0.0000		0.3783		0.00046385
6		0.7129		0.9363		0.0000		0.4107		0.00045477
7		0.8095		0.8745		0.0000		0.4205		0.00044566
8		0.7759		0.8680		0.0000		0.3783		0.00043653
9		0.6522		0.8132		0.0000		0.4047		0.00042739
10		0.5972		0.8195		0.0000		0.4053		0.00041822
11		0.6157		1.3762		0.0000		0.2823		0.00040903
12		0.6181		0.8141		0.0000		0.4116		0.00039981
13		0.5850		0.7495		0.0000		0.4420		0.00039057
14		0.5254		0.7733		0.0000		0.4204		0.00038131
15		0.6150		0.7562		0.0000		0.4134		0.00037202
16		0.5608		0.6810		0.0000		0.4418		0.00036271
17		0.4878		0.7193		0.0000		0.4375		0.00035337
18		0.5250		0.8531		0.0000		0.4372		0.00034400
19		0.5035		0.8773		0.0000		0.4082		0.00033460
20		0.4940		0.6713		0.0000		0.4424		0.00032518
21		0.4449		0.6635		0.0000		0.4597		0.00031572
22		0.4334		0.7467		0.0000		0.4686		0.00030624
23		0.4391		0.6704		0.0000		0.4725		0.00029671
24		0.4429		0.7289		0.0000		0.4387		0.00028716
25		0.5535		0.6964		0.0000		0.4334		0.00027757
26		0.4535		0.6730		0.0000		0.4671		0.00026794
27		0.4419		0.7113		0.0000		0.4417		0.00025828
28		0.4122		0.6804		0.0000		0.4609		0.00024857
29		0.3872		0.6460		0.0000		0.4674		0.00023882
30		0.3851		0.6757		0.0000		0.4754		0.00022903
31		0.3707		0.6728		0.0000		0.4943		0.00021919
32		0.4335		0.6642		0.0000		0.4650		0.00020930
33		0.3697		0.7152		0.0000		0.4744		0.00019936
34		0.3562		0.6799		0.0000		0.4918		0.00018937
35		0.3568		0.6814		0.0000		0.4700		0.00017931
36		0.4000		0.7032		0.0000		0.4562		0.00016919
37		0.3566		0.6553		0.0000		0.4984		0.00015901
38		0.3379		0.6729		0.0000		0.4903		0.00014875
39		0.3292		0.6145		0.0000		0.5084		0.00013841
40		0.3282		0.6519		0.0000		0.5062		0.00012798
41		0.3234		0.6652		0.0000		0.5132		0.00011746
42		0.3154		0.6683		0.0000		0.5150		0.00010684
43		0.3191		0.6671		0.0000		0.5130		0.00009609
44		0.3122		0.6643		0.0000		0.5020		0.00008521
45		0.3076		0.6360		0.0000		0.5026		0.00007417
46		0.2985		0.6525		0.0000		0.5246		0.00006295
47		0.2933		0.6463		0.0000		0.5169		0.00005149
48		0.2921		0.6577		0.0000		0.5247		0.00003975
49		0.2862		0.6756		0.0000		0.5287		0.00002759
50		0.2859		0.6743		0.0000		0.5268		0.00001479
